       Time (UTCG)          gps-01_svn63 - x (km)    gps-01_svn63 - y (km)    gps-01_svn63 - z (km)
14 Sep 2022 15:41:00.000             -3169.507566             16388.805664            -20880.165250
14 Sep 2022 15:42:00.000             -3313.041171             16446.745692            -20809.212844
14 Sep 2022 15:43:00.000             -3455.880770             16505.017996            -20736.696952
14 Sep 2022 15:44:00.000             -3598.015430             16563.612866            -20662.622608
14 Sep 2022 15:45:00.000             -3739.434338             16622.520471            -20586.994969
14 Sep 2022 15:46:00.000             -3880.126804             16681.730869            -20509.819307
14 Sep 2022 15:47:00.000             -4020.082258             16741.233999            -20431.101011
14 Sep 2022 15:48:00.000             -4159.290253             16801.019690            -20350.845588
14 Sep 2022 15:49:00.000             -4297.740468             16861.077660            -20269.058659
14 Sep 2022 15:50:00.000             -4435.422711             16921.397517            -20185.745966
14 Sep 2022 15:51:00.000             -4572.326916             16981.968762            -20100.913362
14 Sep 2022 15:52:00.000             -4708.443147             17042.780789            -20014.566819
14 Sep 2022 15:53:00.000             -4843.761601             17103.822888            -19926.712424
14 Sep 2022 15:54:00.000             -4978.272605             17165.084248            -19837.356378
14 Sep 2022 15:55:00.000             -5111.966623             17226.553956            -19746.504999
14 Sep 2022 15:56:00.000             -5244.834253             17288.221000            -19654.164716
14 Sep 2022 15:57:00.000             -5376.866233             17350.074271            -19560.342076
14 Sep 2022 15:58:00.000             -5508.053435             17412.102565            -19465.043737
14 Sep 2022 15:59:00.000             -5638.386874             17474.294586            -19368.276473
14 Sep 2022 16:00:00.000             -5767.857706             17536.638943            -19270.047168
14 Sep 2022 16:01:00.000             -5896.457229             17599.124159            -19170.362823
14 Sep 2022 16:02:00.000             -6024.176884             17661.738667            -19069.230546
14 Sep 2022 16:03:00.000             -6151.008259             17724.470815            -18966.657563
14 Sep 2022 16:04:00.000             -6276.943087             17787.308866            -18862.651206
14 Sep 2022 16:05:00.000             -6401.973248             17850.241003            -18757.218922
14 Sep 2022 16:06:00.000             -6526.090773             17913.255327            -18650.368267
14 Sep 2022 16:07:00.000             -6649.287841             17976.339862            -18542.106909
14 Sep 2022 16:08:00.000             -6771.556783             18039.482556            -18432.442624
14 Sep 2022 16:09:00.000             -6892.890082             18102.671283            -18321.383298
14 Sep 2022 16:10:00.000             -7013.280374             18165.893844            -18208.936927
