    Time (UTCG)          Svn41_26605 - x (km)    Svn41_26605 - y (km)    Svn41_26605 - z (km)
19 Nov 2022 08:11:00.000           -16439.882208            18908.634520             8961.952941
19 Nov 2022 08:12:00.000           -16501.759748            18932.410027             8787.097734
19 Nov 2022 08:13:00.000           -16562.490384            18955.642098             8611.572998
19 Nov 2022 08:14:00.000           -16622.075012            18978.318869             8435.391874
19 Nov 2022 08:15:00.000           -16680.514696            19000.428508             8258.567563
19 Nov 2022 08:16:00.000           -16737.810664            19021.959228             8081.113327
19 Nov 2022 08:17:00.000           -16793.964307            19042.899282             7903.042482
19 Nov 2022 08:18:00.000           -16848.977183            19063.236970             7724.368401
19 Nov 2022 08:19:00.000           -16902.851012            19082.960637             7545.104513
19 Nov 2022 08:20:00.000           -16955.587678            19102.058678             7365.264303
19 Nov 2022 08:21:00.000           -17007.189227            19120.519540             7184.861306
19 Nov 2022 08:22:00.000           -17057.657870            19138.331722             7003.909113
19 Nov 2022 08:23:00.000           -17106.995977            19155.483781             6822.421365
19 Nov 2022 08:24:00.000           -17155.206081            19171.964329             6640.411752
19 Nov 2022 08:25:00.000           -17202.290877            19187.762042             6457.894018
19 Nov 2022 08:26:00.000           -17248.253218            19202.865653             6274.881952
19 Nov 2022 08:27:00.000           -17293.096121            19217.263964             6091.389393
19 Nov 2022 08:28:00.000           -17336.822757            19230.945841             5907.430224
19 Nov 2022 08:29:00.000           -17379.436459            19243.900220             5723.018376
19 Nov 2022 08:30:00.000           -17420.940718            19256.116106             5538.167824
19 Nov 2022 08:31:00.000           -17461.339181            19267.582578             5352.892587
19 Nov 2022 08:32:00.000           -17500.635651            19278.288790             5167.206727
19 Nov 2022 08:33:00.000           -17538.834089            19288.223973             4981.124345
19 Nov 2022 08:34:00.000           -17575.938608            19297.377436             4794.659586
19 Nov 2022 08:35:00.000           -17611.953478            19305.738571             4607.826633
19 Nov 2022 08:36:00.000           -17646.883121            19313.296852             4420.639707
19 Nov 2022 08:37:00.000           -17680.732110            19320.041838             4233.113067
19 Nov 2022 08:38:00.000           -17713.505173            19325.963177             4045.261009
19 Nov 2022 08:39:00.000           -17745.207185            19331.050605             3857.097864
19 Nov 2022 08:40:00.000           -17775.843173            19335.293950             3668.637995
19 Nov 2022 08:41:00.000           -17805.418311            19338.683132             3479.895803
19 Nov 2022 08:42:00.000           -17833.937924            19341.208168             3290.885716
19 Nov 2022 08:43:00.000           -17861.407480            19342.859172             3101.622196
19 Nov 2022 08:44:00.000           -17887.832593            19343.626358             2912.119735
19 Nov 2022 08:45:00.000           -17913.219025            19343.500039             2722.392851
19 Nov 2022 08:46:00.000           -17937.572677            19342.470633             2532.456093
19 Nov 2022 08:47:00.000           -17960.899596            19340.528663             2342.324034
19 Nov 2022 08:48:00.000           -17983.205967            19337.664758             2152.011275
19 Nov 2022 08:49:00.000           -18004.498118            19333.869658             1961.532438
19 Nov 2022 08:50:00.000           -18024.782513            19329.134212             1770.902173
19 Nov 2022 08:51:00.000           -18044.065756            19323.449382             1580.135147
19 Nov 2022 08:52:00.000           -18062.354586            19316.806244             1389.246051
19 Nov 2022 08:53:00.000           -18079.655877            19309.195993             1198.249594
19 Nov 2022 08:54:00.000           -18095.976637            19300.609937             1007.160507
19 Nov 2022 08:55:00.000           -18111.324007            19291.039510              815.993534
19 Nov 2022 08:56:00.000           -18125.705258            19280.476263              624.763438
19 Nov 2022 08:57:00.000           -18139.127791            19268.911872              433.484997
19 Nov 2022 08:58:00.000           -18151.599135            19256.338140              242.173003
19 Nov 2022 08:59:00.000           -18163.126947            19242.746993               50.842260
19 Nov 2022 09:00:00.000           -18173.719009            19228.130489             -140.492416
19 Nov 2022 09:01:00.000           -18183.383225            19212.480815             -331.816198
19 Nov 2022 09:02:00.000           -18192.127624            19195.790289             -523.114249
19 Nov 2022 09:03:00.000           -18199.960355            19178.051365             -714.371726
19 Nov 2022 09:04:00.000           -18206.889686            19159.256629             -905.573777
19 Nov 2022 09:05:00.000           -18212.924003            19139.398807            -1096.705546
19 Nov 2022 09:06:00.000           -18218.071809            19118.470761            -1287.752171
19 Nov 2022 09:07:00.000           -18222.341720            19096.465493            -1478.698787
19 Nov 2022 09:08:00.000           -18225.742467            19073.376148            -1669.530528
19 Nov 2022 09:09:00.000           -18228.282891            19049.196013            -1860.232525
19 Nov 2022 09:10:00.000           -18229.971944            19023.918518            -2050.789911
19 Nov 2022 09:11:00.000           -18230.818683            18997.537241            -2241.187819
19 Nov 2022 09:12:00.000           -18230.832275            18970.045906            -2431.411387
19 Nov 2022 09:13:00.000           -18230.021989            18941.438386            -2621.445755
19 Nov 2022 09:14:00.000           -18228.397200            18911.708705            -2811.276068
19 Nov 2022 09:15:00.000           -18225.967379            18880.851038            -3000.887479
19 Nov 2022 09:16:00.000           -18222.742101            18848.859710            -3190.265147
19 Nov 2022 09:17:00.000           -18218.731037            18815.729205            -3379.394240
19 Nov 2022 09:18:00.000           -18213.943952            18781.454159            -3568.259937
19 Nov 2022 09:19:00.000           -18208.390706            18746.029365            -3756.847428
19 Nov 2022 09:20:00.000           -18202.081253            18709.449775            -3945.141916
19 Nov 2022 09:21:00.000           -18195.025633            18671.710499            -4133.128615
19 Nov 2022 09:22:00.000           -18187.233977            18632.806807            -4320.792757
19 Nov 2022 09:23:00.000           -18178.716503            18592.734133            -4508.119591
